Time,201Hg,202Hg
,R1-15 Blank-1    3/12/2004 8:21:53 PM    (Run: 1),
17513,101600.000,6426.000
17596,107900.000,6601.000
17679,109400.000,5876.000
17762,109200.000,5601.000
17845,106600.000,6001.000
17928,110000.000,6776.000
18011,107200.000,6226.000
18094,109000.000,6926.000
18177,109700.000,6551.000
18260,112300.000,6176.000
18343,111500.000,6126.000
18426,112700.000,5901.000
18509,111400.000,6276.000
18592,117200.000,6326.000
18675,111300.000,6551.000
18758,113500.000,6651.000
18841,112700.000,6226.000
18924,114000.000,6276.000
19007,115300.000,6601.000
19090,113900.000,7051.000
19173,114900.000,6126.000
19256,119200.000,5776.000
19339,113400.000,6076.000
19422,115700.000,6876.000
19505,118700.000,6626.000
19588,116400.000,7001.000
19671,118500.000,6601.000
19754,117300.000,5926.000
19837,116500.000,7051.000
19920,114700.000,6626.000
20003,118500.000,5876.000
20086,118400.000,6651.000
20169,119600.000,6576.000
20252,115400.000,6351.000
20335,122800.000,6351.000
20418,117500.000,6701.000
20501,117800.000,6926.000
20584,119600.000,7126.000
20667,122300.000,6676.000
20750,115400.000,5926.000
20833,121500.000,6501.000
20916,116400.000,6951.000
20999,121800.000,6251.000
21082,121100.000,6676.000
21165,123500.000,6176.000
21248,118700.000,7076.000
21331,119900.000,6426.000
21414,122300.000,6451.000
21497,122700.000,7326.000
21580,119100.000,6851.000
21663,123700.000,7476.000
21746,122900.000,6751.000
21829,124700.000,6576.000
21912,119200.000,6376.000
21995,121800.000,6501.000
22078,118300.000,6551.000
22161,123900.000,6576.000
22244,117300.000,7151.000
22327,125300.000,6826.000
22410,120900.000,6726.000
22493,121700.000,6776.000
22576,130300.000,7151.000
22659,123200.000,6901.000
22742,121700.000,6826.000
22825,123400.000,6901.000
22908,121200.000,7126.000
22991,124700.000,7301.000
23074,122600.000,7501.000
23157,123600.000,7301.000
23240,122900.000,6826.000
23323,123600.000,6701.000
23406,121400.000,6726.000
23489,121900.000,6601.000
23572,119200.000,6351.000
23655,116000.000,6401.000
23738,123800.000,6526.000
23821,119400.000,6451.000
23904,123600.000,7026.000
23987,115600.000,6951.000
24070,119100.000,6276.000
24153,116900.000,6851.000
24236,115900.000,7151.000
24319,113500.000,6401.000
24402,114100.000,6151.000
24485,116600.000,6576.000
24568,116600.000,6576.000
24651,115600.000,6626.000
24734,112500.000,5426.000
24817,117800.000,6826.000
24900,116300.000,6451.000
24983,111500.000,6151.000
25066,109000.000,6501.000
25149,110300.000,5751.000
25232,111500.000,6326.000
25315,108800.000,6301.000
25398,111200.000,6476.000
25481,111100.000,6101.000
25564,114700.000,5501.000
25647,114200.000,5976.000
25730,117300.000,5951.000
25813,116300.000,6101.000
25896,119100.000,5976.000
25979,116600.000,6051.000
26062,115400.000,5951.000
26145,114600.000,6201.000
